inst.id,inst.ref,inst.jobs,inst.machines,inst.opt.bound.lower,inst.opt.bound.lower.ref,inst.bks,inst.bks.ref,inst.bks.time,inst.bks.time.ref
ta33,T199BFBSP,30,15,1788,VLS2015FDSFCBS,1791,PSV2010SJSSPUTPOBABV,457550,PLC2015ATSPRATSTJSSP
ta34,T199BFBSP,30,15,1828,T199BFBSP,1829,H2002PJSSP,315710,PLC2015ATSPRATSTJSSP
ta35,T199BFBSP,30,15,2007,V1995RLOETP,2007,H2002PJSSP,560,PLC2015ATSPRATSTJSSP
ta36,T199BFBSP,30,15,1819,V1995RLOETP,1819,H2002PJSSP,15000,SS2018BBOVBCACSOJSS
ta37,T199BFBSP,30,15,1771,T199BFBSP,1771,GR2014AEAGMWABRKGAFJSS,652240,PLC2015ATSPRATSTJSSP
ta38,T199BFBSP,30,15,1673,T199BFBSP,1673,H2002PJSSP,45000,SS2018BBOVBCACSOJSS
ta39,T199BFBSP,30,15,1795,V1995RLOETP,1795,H2002PJSSP,6000,SS2018BBOVBCACSOJSS
ta40,T199BFBSP,30,15,1651,VLS2015FDSFCBS,1669,GR2014AEAGMWABRKGAFJSS,30000000,VLS2015FDSFCBSDER
ta41,T199BFBSP,30,20,1906,VLS2015FDSFCBS,2005,VLS2015FDSFCBSDER,30000000,VLS2015FDSFCBSDER
ta42,T199BFBSP,30,20,1884,VLS2015FDSFCBS,1937,GR2014AEAGMWABRKGAFJSS,30000000,VLS2015FDSFCBSDER
ta43,T199BFBSP,30,20,1809,V1995RLOETP,1846,PLC2015ATSPRATSTJSSP,1726780,PLC2015ATSPRATSTJSSP
ta44,T199BFBSP,30,20,1948,VLS2015FDSFCBS,1979,VLS2015FDSFCBSDER,30000000,VLS2015FDSFCBSDER
ta45,T199BFBSP,30,20,1997,V1995RLOETP,2000,H2002PJSSP,1057790,PLC2015ATSPRATSTJSSP
ta46,T199BFBSP,30,20,1957,VLS2015FDSFCBS,2004,GR2014AEAGMWABRKGAFJSS,30000000,VLS2015FDSFCBSDER
ta47,T199BFBSP,30,20,1807,VLS2015FDSFCBS,1889,PLC2015ATSPRATSTJSSP;VLS2015FDSFCBSDER,1030880,PLC2015ATSPRATSTJSSP
ta48,T199BFBSP,30,20,1912,V1995RLOETP,1937,SS2018BBOVBCACSOJSS,3008000,SS2018BBOVBCACSOJSS
ta49,T199BFBSP,30,20,1931,VLS2015FDSFCBS,1961,VLS2015FDSFCBSDER,30000000,VLS2015FDSFCBSDER
ta50,T199BFBSP,30,20,1833,VLS2015FDSFCBS,1923,PLC2015ATSPRATSTJSSP;VLS2015FDSFCBSDER,1318050,PLC2015ATSPRATSTJSSP
ta51,T199BFBSP,50,15,2760,T199BFBSP,2760,H2002PJSSP,2000000,H2002PJSSP
ta52,T199BFBSP,50,15,2756,T199BFBSP,2756,H2002PJSSP,2000000,H2002PJSSP
ta53,T199BFBSP,50,15,2717,T199BFBSP,2717,H2002PJSSP,2000000,H2002PJSSP
ta54,T199BFBSP,50,15,2839,T199BFBSP,2839,H2002PJSSP,2000000,H2002PJSSP
ta55,T199BFBSP,50,15,2679,T199BFBSP,2679,NS1996AFTSAFTJSP,2000000,H2002PJSSP
ta56,T199BFBSP,50,15,2781,T199BFBSP,2781,H2002PJSSP,2000000,H2002PJSSP
ta57,T199BFBSP,50,15,2943,T199BFBSP,2943,H2002PJSSP,2000000,H2002PJSSP
ta58,T199BFBSP,50,15,2885,T199BFBSP,2885,H2002PJSSP,2000000,H2002PJSSP
ta59,T199BFBSP,50,15,2655,T199BFBSP,2655,H2002PJSSP,2000000,H2002PJSSP
ta60,T199BFBSP,50,15,2723,T199BFBSP,2723,H2002PJSSP,2000000,H2002PJSSP
ta61,T199BFBSP,50,20,2868,T199BFBSP,2868,NS1996AFTSAFTJSP,2000000,H2002PJSSP
ta62,T199BFBSP,50,20,2869,V1995RLOETP,2869,C2003PCOR2FTTETLOETP,NA,NA
ta63,T199BFBSP,50,20,2755,T199BFBSP,2755,NS1996AFTSAFTJSP,2000000,H2002PJSSP
ta64,T199BFBSP,50,20,2702,BV1994GLSWSBFJSS,2702,NS1996AFTSAFTJSP,2000000,H2002PJSSP
ta65,T199BFBSP,50,20,2725,T199BFBSP,2725,NS1996AFTSAFTJSP,2000000,H2002PJSSP
ta66,T199BFBSP,50,20,2845,T199BFBSP,2845,NS1996AFTSAFTJSP,2000000,H2002PJSSP
ta67,T199BFBSP,50,20,2825,V1995RLOETP,2825,H2002PJSSP,2000000,H2002PJSSP
ta68,T199BFBSP,50,20,2784,BV1994GLSWSBFJSS,2784,NS1996AFTSAFTJSP,2000000,H2002PJSSP
ta69,T199BFBSP,50,20,3071,T199BFBSP,3071,NS1996AFTSAFTJSP,2000000,H2002PJSSP
ta70,T199BFBSP,50,20,2995,T199BFBSP,2995,NS1996AFTSAFTJSP,2000000,H2002PJSSP
ta71,T199BFBSP,100,20,5464,T199BFBSP,5464,H2002PJSSP,2000000,H2002PJSSP
ta72,T199BFBSP,100,20,5181,T199BFBSP,5181,H2002PJSSP,2000000,H2002PJSSP
ta73,T199BFBSP,100,20,5568,T199BFBSP,5568,H2002PJSSP,2000000,H2002PJSSP
ta74,T199BFBSP,100,20,5339,T199BFBSP,5339,H2002PJSSP,2000000,H2002PJSSP
ta75,T199BFBSP,100,20,5392,T199BFBSP,5392,H2002PJSSP,2000000,H2002PJSSP
ta76,T199BFBSP,100,20,5342,T199BFBSP,5342,H2002PJSSP,2000000,H2002PJSSP
ta77,T199BFBSP,100,20,5436,T199BFBSP,5436,H2002PJSSP,2000000,H2002PJSSP
ta78,T199BFBSP,100,20,5394,T199BFBSP,5394,H2002PJSSP,2000000,H2002PJSSP
ta79,T199BFBSP,100,20,5358,T199BFBSP,5358,H2002PJSSP,2000000,H2002PJSSP
ta80,T199BFBSP,100,20,5183,T199BFBSP,5183,NS1996AFTSAFTJSP,2000000,H2002PJSSP
yn1,YN1992AGAATLSJSI,20,20,884,KNFH2010SOJSSPBSE,884,ZSRQ2008SNROTSAATTJSSP,169290,PLC2015ATSPRATSTJSSP
yn2,YN1992AGAATLSJSI,20,20,870,BB2001SOBIFTJSPBPHTA,904,GR2014AEAGMWABRKGAFJSS,202220,PLC2015ATSPRATSTJSSP
yn3,YN1992AGAATLSJSI,20,20,859,VLS2015FDSFCBS,892,NS2005AATSAFTJSP,344150,PLC2015ATSPRATSTJSSP
yn4,YN1992AGAATLSJSI,20,20,929,VLS2015FDSFCBS,968,H2002PJSSP,320510,PLC2015ATSPRATSTJSSP
